SSN,payment_history,credit_utilization,len_credit_history,mix_credit,new_credit,credit_score
69306359,0.58,0.12,0.67,0.61,0.59,384
79831606,0.96,0.06,0.25,0.37,0.59,533
569112553,0.7,0.22,0.82,0.37,0.29,426
593502117,0.69,0.18,0.68,0.37,0.51,362
645926224,0.75,0.21,0.55,0.37,0.23,444
360438736,0.75,0.19,0.82,0.81,0.69,370
430315203,0.55,0.16,0.75,0.37,0.41,384
234614982,0.75,0.24,0.82,0.37,0.59,323
837118334,0.67,0.18,1,0.37,0.22,555
72368201,0.55,0.09,0.02,0.37,0.16,541
478878602,0.04,0.08,0.41,0.89,0.23,350
517898457,0.56,0.15,0.55,0.86,0.62,341
862072868,0.55,0.05,0.39,0.96,0.34,708
714954574,0.75,0.24,0.43,0.37,0.09,449
585052184,0.29,0.04,0.25,0.79,0.24,606
277094377,0.99,0.03,0.98,0.37,0.67,698
559739669,0.55,0.15,0.25,0.28,0.17,416
234841747,0.53,0.06,0.74,0.37,0.58,440
274417328,0.75,0.13,0.66,0.98,0.42,567
120602905,0.75,0.19,0.41,0.78,0.44,398
229747564,0.03,0.05,0.56,0.37,0.12,487
99914468,0.23,0.14,0.81,0.56,0.16,445
227689373,0.75,0.08,0.98,0.98,0.86,461
673828114,0.75,0.23,0.7,0.95,0.49,392
59392784,0.75,0.14,0.43,0.37,0.45,418
238465931,0.53,0.14,0.98,0.37,0.79,306
903901634,0.26,0.19,0.75,0.9,0.11,432
186214434,0.64,0.13,0.25,0.37,0.32,420
580435318,0.99,0.2,0.4,0.91,0.68,389
415623337,0.75,0.21,0.4,0.77,0.28,439
672808289,0.88,0.2,0.19,0.37,0.07,557
707247483,0.71,0.17,0.98,0.87,0.47,492
666868864,0.59,0.12,0.7,1,0.2,735
517214416,0.24,0.11,0.09,0.72,0.13,368
45037721,0.53,0.2,0.79,0.79,0.16,505
799146356,0.63,0.16,0.82,0.69,0.78,327
645166767,0.99,0.18,0.25,0.37,0.17,593
49328821,0.55,0.09,0.82,0.37,0.32,597
105154867,0.73,0.2,0.82,0.37,0.48,385
6372789,0.26,0.01,0.83,0.72,0.42,639
56119599,0.7,0.21,0.43,0.99,0.5,362
221718555,0.55,0.02,0.46,0.18,0.43,570
343898565,0.88,0.1,0.54,0.37,0.29,722
849432727,0.55,0.13,0.82,0.83,0.56,419
15624483,0.75,0.04,0.58,0.37,0.49,634
990606941,0.9,0.03,0.65,0.77,0.59,720
565500207,0.71,0.11,0.72,0.37,0.59,428
409814535,0.55,0.13,0.4,0.37,0.2,491
302126414,0.93,0.25,0.82,0.37,0.65,347
57374178,0.97,0.25,0.65,0.37,0.57,359
915683839,0.9,0.15,0.82,0.37,0.87,360
705490698,0.91,0.19,0.61,0.88,0.4,513
385961928,0.75,0.24,0.97,0.82,0.09,605
182016153,0.74,0.22,0.45,0.37,0.43,333
680764968,0.75,0.13,0.25,0.37,0.09,702
560892292,0.73,0.21,0.25,0.37,0.1,452
4340821,0.55,0.05,0.09,0.68,0.28,637
918845459,0.7,0.01,0.79,0.91,0.99,446
797264412,0.82,0.09,0.65,0.37,0.79,398
873435248,0.88,0.06,0.03,0.37,0.6,448
408063863,0.75,0.08,0.57,1,0.48,622
100868843,0.59,0.08,0.04,0.98,0.47,437
969970495,0.89,0.04,0.61,0.98,0.52,783
642829964,0.53,0.17,0.74,0.89,0.15,585
443237482,0.75,0.2,0.58,0.37,0.35,407
139330649,1,0.14,0.65,0.98,0.86,426
876435534,0.75,0.01,0.83,0.37,0.68,597
667038556,0.6,0.05,0.25,0.19,0.3,592
332229538,0.91,0.12,0.64,0.37,0.47,544
731778086,0.93,0.15,0.17,0.37,0.79,313
553767095,0.55,0.2,0.62,0.37,0.11,454
337313868,0.6,0.26,0.63,0.83,0.15,417
473075206,0.67,0.19,0.45,0.37,0.52,311
581726629,0.95,0.2,0.25,0.37,0.1,581
160988011,0.97,0.12,0.82,0.37,0.34,714
880215715,0.57,0.25,0.82,0.37,0.3,342
751717038,0.92,0.2,0.96,0.37,0.97,320
7228467,0.59,0.17,0.82,0.37,0.6,330
85286704,0.75,0.08,0.37,0.37,0.79,345
139859297,0.05,0.04,0.65,0.97,0.21,642
62924606,0.61,0.23,0.48,0.22,0.06,410
70464308,0.58,0.12,0.25,0.71,0.16,599
31257055,0.76,0.23,0.25,0.94,0.22,437
473059211,0.75,0.11,0.95,0.37,0.8,391
618222796,0.55,0.15,0,0.97,0.16,475
13674756,0.55,0.12,0.46,0.37,0.37,409
980379328,0.74,0.08,0.65,0.37,0.51,525
781388389,0.32,0.26,0.96,0.78,0.02,418
305287673,0.68,0.18,0.1,0.92,0.21,460
22277517,0.93,0.25,0.58,0.37,0.64,323
674388281,0.75,0.15,0.82,0.37,0.58,410
886651264,0.63,0.21,0.62,0.37,0.44,328
87450835,0.91,0.07,0.03,0.96,0.42,665
205620364,0.97,0.25,0.82,0.37,0.24,505
509955245,0.73,0.09,0.82,0.37,0.65,452
332241465,0.89,0.2,0.7,0.37,0.09,657
727542306,0.69,0.14,0.82,0.82,0.19,732
36061933,0.56,0.18,0.25,0,0.01,425
200904863,0.75,0.22,0.74,0.37,0.38,395
740023437,0.75,0.15,0.69,0.37,0.43,458
359041862,0.55,0.23,0.82,0.64,0.22,417
117347885,0.6,0.02,0.18,0.72,0.4,672
902040635,0.29,0.1,0.25,0.22,0.18,335
84305041,0.61,0.26,0.97,0.93,0.62,323
241806827,0.99,0.04,0.25,0.92,0.7,580
567130808,0.75,0.23,0.69,0.76,0.18,508
539305611,0.75,0.21,0.59,0.82,0.46,397
677020497,0.75,0.1,0.49,0.37,0.75,355
217080336,0.82,0.08,0.37,0.37,0.39,602
985782684,0.66,0.13,0.61,0.37,0.58,371
9553505,0.89,0.11,0.57,0.37,0.99,329
316926788,0.89,0.21,0.82,0.92,0.7,396
454598479,0.88,0.47,0.82,0.37,0.13,304
266445067,0.7,0.22,0.82,0.37,0.31,418
288029675,0.71,0.21,0.71,0.89,0.19,541
154961916,0.99,0.13,0.25,0.37,0.26,648
893974915,0.93,0.24,0.72,0.37,0.34,444
562397738,0.67,0.17,0.7,0.37,0.34,443
754176616,0.6,0.13,0.79,0.29,0.69,331
31048561,0.82,0.15,1,0.37,0.56,469
228817234,0.63,0.26,0.5,0.96,0.18,408
918943465,0.68,0.08,0.25,0.37,0.22,679
855895611,0.75,0.17,0.95,0.37,0.82,332
143545821,0.26,0.06,0.25,0.09,0.01,724
89545823,0.57,0.06,0.23,0.37,0.36,502
123236305,0.99,0.05,0.19,0.37,0.78,443
484714537,0.55,0.1,0.61,0.79,0.59,408
728468836,0.71,0.13,0.06,0.37,0.5,331
101281454,0.25,0.09,0.45,0.66,0.41,325
490949858,0.91,0.21,0.35,0.37,0.07,583
896694252,0.75,0.15,0.34,0.37,0.08,661
818233599,0.93,0.23,0.58,0.37,0.34,436
204269541,0.24,0.06,0.25,0.72,0.19,523
858213151,0.55,0.25,0.81,0.77,0.07,477
605568204,0.75,0.15,0.76,0.37,0.56,409
209752978,0.93,0.26,0.34,0.89,0.56,347
628799339,0.6,0.11,0.5,0.09,0.34,439
68841228,1,0.22,0.82,0.37,0.96,315
349883005,0.23,0.22,0.82,0.74,0.23,312
67955458,0.96,0.24,0.46,0.37,0.32,425
376648767,0.1,0.18,0.82,0.67,0.07,369
254663688,0.55,0.13,0.18,0.91,0.29,457
693785967,0.55,0.08,0.71,0.99,0.43,594
545045647,0.7,0.23,0.54,0.87,0.08,536
471213709,0.55,0.13,0.45,0.37,0.09,619
7121623,0.75,0.02,0.35,0.37,0.58,550
180644547,0.6,0.05,0.82,0.59,0.56,552
898298406,0.66,0.19,0.23,0.37,0.27,360
172936943,0.67,0.09,0.58,0.37,0.42,520
106600942,0.57,0.03,0.25,0.37,0.31,685
980884498,0.71,0.1,0.35,0.37,0.6,376
229256621,0.75,0.25,0.62,0.99,0.68,318
53013094,0.71,0.18,0.19,0.37,0.5,302
885917375,0.91,0.03,0.25,0.37,0.48,689
264510814,0.25,0.23,0.82,0.77,0.09,369
573059408,0.74,0.17,0.49,0.37,0.41,402
50536724,0.82,0.16,0.82,0.37,0.33,552
53654421,0.88,0.24,0.81,0.94,0.31,508
50602452,0.96,0,0.17,0.37,0.62,643
6538688,0.93,0.12,0.98,0.37,0.67,495
489806333,0.57,0.26,0.5,0.55,0.04,402
228155564,0.68,0.17,0.79,0.37,0.04,715
778287168,0.55,0.23,0.78,0.37,0.14,417
380719941,0.69,0.17,0.82,0.37,0.48,406
234285806,0.56,0.22,0.79,0.67,0.02,561
873756541,0.93,0.14,0.47,0.77,0.58,473
739640487,0.96,0.16,0.69,0.76,0.5,526
48652748,0.99,0.25,0.54,0.37,0.53,363
689379533,0.75,0.12,0.59,0.37,0.52,441
938071743,0.53,0.18,0.56,0.28,0.42,311
529026653,0.23,0.14,0.61,0.81,0.17,429
385681203,0.55,0.07,0.98,0.13,0.34,641
638598923,0.55,0.13,0.82,0.37,0.06,783
930015688,0.75,0.21,0.82,0.37,0.12,563
150879336,0.55,0.06,0.07,0.82,0.63,352
907448831,0.95,0.23,0.46,0.37,0.43,392
673112066,0.75,0.24,0.82,0.37,0.57,328
21962567,0.88,0.11,0.82,0.37,0.41,632
855154061,0.99,0.07,0.11,0.89,0.82,439
479054951,0.75,0.1,0.97,0.37,0.75,424
845958066,0.75,0.05,0.69,0.83,0.95,408
601537288,0.63,0.03,0.44,0.74,0.41,721
749625287,0.66,0.11,0.66,0.37,0.49,448
759913622,0.57,0.14,0.25,0.02,0.24,362
4202025,0.63,0.25,0.21,0.76,0.15,364
702330671,0.61,0.22,0.82,0.23,0.29,378
372758807,0.75,0.02,0.53,0.95,0.67,599
458278761,1,0.25,0.82,0.37,0.53,398
961097244,0.75,0.06,0.82,0.37,0.62,528
215657009,0.72,0.1,0.66,0.37,0.41,546
437588803,0.55,0.01,0.54,0.29,0.52,550
648071655,0.68,0.11,0.72,0.93,0.68,435
426354312,0.58,0.11,0.39,0.26,0.31,449
9401582,0.55,0.18,0.73,0.75,0.03,661
50144305,0.22,0.15,0.82,0.01,0.04,410
187463427,0.92,0.24,0.52,0.37,0.53,350
458187523,0.32,0.18,0.25,0.37,0.03,327
757546119,0.73,0.12,0.67,0.37,0.14,786
590059351,0.75,0.15,0.76,0.37,0.31,544
111231636,0.04,0.13,0.66,0.94,0.15,383
430719584,0.57,0.13,0.25,0.62,0.12,586
888614271,0.75,0.09,0.82,0.96,0.44,678
669798137,0.55,0.01,0.83,0.78,0.56,669
854692266,0.55,0.14,0.71,0.09,0.37,390
414946979,0.75,0.12,0.66,0.37,0.84,332
67351592,1,0.21,0.76,0.37,0.32,527
803917089,0.95,0.15,0.41,0.37,0.81,342
530460203,0.55,0.17,0.75,0.37,0.14,526
32775309,0.62,0.07,0.25,0.67,0.37,554
320939689,0.1,0.06,0.58,0.86,0.12,693
507280305,0.75,0.02,0.57,0.37,0.56,621
552899524,0.75,0.25,0.48,0.37,0.25,372
988701671,0.71,0.21,0.5,0.76,0.24,459
422448014,0.96,0.13,0.36,0.37,0.66,407
63631674,0.55,0.16,0.44,0.94,0.58,333
148957242,0.75,0.26,0.37,0.37,0.22,355
6260091,0.03,0.14,0.99,0.92,0.36,322
593355985,0.55,0.08,0.82,0.15,0.77,327
543111336,0.55,0.1,0.98,0.59,0.72,391
937723033,0.65,0.08,0.51,0.37,0.78,334
157775729,0.71,0.13,0.82,0.37,0.26,628
21419309,0.1,0.1,0.58,0.9,0.27,372
787383718,0.25,0.12,0.55,0.06,0.15,345
417585177,0.73,0.2,0.47,0.37,0.15,484
564237661,0.55,0.1,0.74,0.07,0.58,353
452059757,0.61,0.01,0.43,0.66,0.84,395
848682539,0.95,0.15,0.82,0.37,0.75,410
91238287,0.75,0.21,0.76,0.37,0.2,498
784027111,0.55,0.16,0.7,0.22,0.31,404
898060308,0.75,0.06,0.97,0.37,0.5,654
224183095,0.02,0.08,0.71,0.19,0.19,308
184164481,0.55,0.14,0.82,0.97,0.46,469
136187807,0.68,0.26,0.56,0.99,0.56,314
139196399,0.67,0.19,0.09,0.37,0.19,375
416059915,0.72,0.06,0.45,0.78,0.46,621
636734086,0.93,0.18,0.83,0.9,0.5,519
394796885,0.66,0.1,0.82,0.96,0.42,625
412200796,0.56,0.02,0.11,0.37,0.33,640
529100158,0.63,0.02,0.44,0.82,0.62,542
89760906,0.75,0.01,0.49,0.37,0.56,632
248824585,0.82,0.1,0.22,0.37,0.33,567
323272559,0.75,0.17,0.23,0.8,0.19,539
596809619,0.22,0.08,0.82,0.37,0.11,677
225980037,0.63,0.22,0.51,0.75,0.44,338
912036981,0.75,0.09,0.82,0.37,0.68,445
276032638,0.75,0.04,0.78,0.37,0.98,379
612526267,0.63,0.24,0.4,0.87,0.45,314
407025605,0.55,0.09,0.64,0.06,0.61,335
771504467,0.99,0.25,0.55,0.98,0.56,402
296437457,0.21,0.04,0.07,0.67,0.13,604
206521772,0.55,0.15,0.68,0.37,0.32,431
558337666,0.61,0.2,0.25,0.72,0.28,367
247014106,0.55,0.04,0.82,0.94,0.53,630
59567126,0.65,0.17,0.06,0.37,0.18,396
896041988,0.75,0.1,0.96,0.84,0.34,766
400224734,0.66,0.04,0.81,0.37,0.62,526
54712145,0.95,0.18,0.99,0.37,0.59,458
631787025,0.75,0.1,0.67,0.37,0.74,385
894604137,0.2,0.13,0.59,0.71,0.25,359
142433692,0.57,0.12,0.82,0.37,0.09,799
9201528,0.27,0.03,0.82,0.14,0.33,551
96321031,0.63,0.09,0.09,0.94,0.34,538
52310853,0.55,0.25,0.14,0.79,0.16,321
719300157,0.9,0.11,0.25,0.37,0.35,573
165955849,0.75,0.12,0.25,0.94,0.42,505
792657272,0.91,0.02,0.68,0.37,0.59,704
297506413,0.1,0.11,0.99,0.95,0.57,309
62565191,0.75,0.14,0.56,0.37,0.09,752
160601556,0.9,0.25,0.63,0.37,0.67,314
263678025,0.53,0.08,0.25,0.82,0.15,784
481735897,0.93,0.13,0.71,0.37,0.3,680
987235637,0.55,0.02,0.99,0.64,0.6,614
683368606,1,0.07,0.37,0.37,0.75,461
870784404,0.55,0.11,0.79,0.09,0.14,681
173997447,0.55,0.26,0.82,0.76,0.37,340
784096699,0.55,0.15,0.38,0.94,0.31,452
969567565,0.75,0.22,0.02,0.37,0.07,414
885437259,0.72,0.05,0.82,0.37,0.4,749
182100761,0.63,0.13,0.45,0.37,0.39,417
921253507,0.68,0.18,1,0.37,0.08,685
205436783,0.75,0.22,0.82,0.37,0.28,449
447937402,0.55,0.12,0.06,0.37,0.21,418
13033385,0.64,0.22,0.78,0.91,0.42,400
343796285,0.92,0.23,0.21,0.37,0.34,379
913780283,0.91,0.13,0.66,0.37,0.58,469
972210776,0.74,0.1,0.09,0.37,0.36,469
48761408,0.96,0.17,0.25,0.81,0.86,332
22426539,0.88,0.01,0.49,0.37,0.84,481
748408264,0.55,0.14,0.1,0.96,0.57,307
834294622,0.61,0.23,0.59,0.99,0.57,318
597518465,0.65,0.18,0.12,0.84,0.45,333
718819939,0.75,0.25,0.82,0.37,0.42,361
447036962,1,0.46,0.81,0.37,0.26,310
661111301,0.75,0.04,0.82,0.98,0.63,645
733195546,0.89,0.12,0.17,0.84,0.18,780
7349527,0.65,0.08,0.99,0.37,0.28,794
53944051,0.91,0.19,0.23,0.98,0.25,550
448241462,0.62,0.09,0.58,0.37,0.22,696
36369538,0.75,0.11,0.11,0.37,0.63,329
653858405,0.9,0.19,0.21,0.37,0.62,322
719219072,0.99,0.22,0.82,0.78,0.16,668
916466699,0.71,0.14,0.25,0.37,0.31,442
576140624,1,0.22,0.43,0.37,0.63,350
941763938,0.95,0.26,0.15,0.37,0.44,321
457903199,0.75,0.26,0.67,0.37,0.13,440
988520574,0.61,0.26,0.25,0.82,0.2,340
41817133,0.55,0.03,0.48,0.82,0.38,737
883222532,0.55,0,0.25,0.72,0.66,458
35092964,0.55,0.11,0.82,0.37,0.18,691
36444374,0.75,0.1,0.08,0.37,0.19,636
233758805,0.82,0.22,0.25,0.37,0.39,344
952399007,0.2,0.03,0.17,0.76,0.25,504
941269478,0.64,0.06,0.65,0.37,0.58,472
432996705,0.57,0.19,0.43,0.37,0.17,407
403993843,0.55,0.16,0.82,0.94,0.15,650
87430242,0.33,0.09,0.82,0.8,0.21,664
866612674,0.9,0.26,0.52,0.37,0.36,377
99758123,0.53,0.08,0.67,0.08,0.33,517
92889491,0.75,0.09,0.8,0.82,0.68,489
507802657,0.93,0.07,0.51,0.37,0.42,697
730065395,0.55,0.13,0.64,0.37,0.13,626
335035942,0.95,0.13,0.61,0.88,0.56,539
95729899,0.95,0.22,0.4,0.37,0.15,530
735637197,0.75,0.26,0.15,0.37,0.15,346
210179884,0.63,0.19,0.17,0.12,0.14,363
370416924,0.32,0.12,0.82,0.17,0.27,400
75147153,0.74,0.02,0.47,0.86,0.87,447
250447851,0.55,0.08,0.42,0.76,0.37,543
4514285,1,0.1,0.82,0.37,0.56,593
224710815,0.75,0.14,0.56,0.86,0.46,491
589280844,0.69,0.15,0.82,0.37,0.14,681
669473661,0.75,0.11,0.37,0.37,0.2,670
7693218,0.71,0.25,0.79,0.98,0.35,423
224080954,0.96,0.09,0.02,0.84,0.42,613
91000974,0.67,0.08,0.82,0.37,0.34,680
97570041,0.67,0.17,0.09,0.37,0.31,348
401598846,0.05,0.09,0.81,0.19,0.11,416
48029323,0.61,0.03,0.7,0.62,0.73,464
757922867,0.64,0.02,0.82,0.37,0.76,468
365747793,0.68,0.06,0.76,0.37,0.4,671
551363518,0.75,0.24,0.73,0.37,0.14,476
889614306,0.68,0.12,0.74,0.37,0.17,728
232870781,0.67,0.26,0.25,0.92,0.04,444
400940725,0.93,0.2,0.25,0.77,0.38,449
546026939,0.71,0.2,0.39,0.98,0.02,653
868857528,0.75,0.12,0.75,0.37,0.48,490
287608975,0.99,0.16,0.67,0.37,0.49,499
492798563,0.75,0.09,0.49,0.37,0.58,439
290816838,0.55,0.08,0.82,0.37,0.26,705
674433812,0.75,0.26,0.61,0.37,0.18,407
700395337,0.75,0.12,0.1,0.37,0.07,731
693372741,0.75,0.23,0.43,0.8,0.42,367
989327483,0.92,0.11,0.72,0.37,0.29,753
838590542,0.66,0.21,0.25,0.89,0.19,436
844263418,0.55,0.09,0.73,0.37,0.67,361
874808577,0.96,0.18,0.82,0.84,0.3,646
593535346,0.75,0.17,0.82,0.97,0.23,652
305827323,0.73,0.08,0.34,0.37,0.45,498
943862296,0.55,0.12,0.64,0.56,0.19,626
728361732,0.75,0.04,0.06,0.37,0.45,541
125122323,0.75,0.07,0.55,0.37,0.56,496
614427332,0.75,0.22,0.67,0.84,0.23,502
676871258,0.75,0.09,0.95,0.37,0.86,391
95052617,0.72,0.26,0.82,0.95,0.35,416
697222108,0.76,0.18,0.25,0.37,0.34,387
886921372,0.93,0.04,0.57,0.37,0.59,631
809003727,0.26,0.15,0.57,0.04,0.11,322
97527922,0.53,0.23,0.74,0.84,0.22,419
695295466,0.97,0.25,0.19,0.37,0.2,426
425146329,0.93,0.09,0.59,0.37,0.85,403
65999941,0.96,0.01,0.25,0.37,0.5,775
635734366,0.7,0.18,0.06,0.37,0.42,303
643911182,0.59,0.17,0.65,0.37,0.19,487
970969764,0.9,0.2,0.05,0.37,0.55,313
924583097,0.72,0.25,0.19,0.37,0.05,397
680511841,0.24,0.13,0.82,0.7,0.31,396
403590727,0.61,0.1,0.77,0.6,0.42,540
982316941,0.55,0.08,0.41,0.87,0.31,620
8068905,0.75,0.2,0.47,0.37,0.63,301
220931975,0.55,0.1,0.81,0.37,0.76,331
71817512,0.72,0.08,0.82,0.37,0.52,542
88258126,0.59,0.18,0.57,0.93,0.61,335
495266016,0.76,0.12,0.17,0.37,0.67,319
295338715,0.53,0.13,0.8,0.37,0.17,613
891555122,0.9,0.22,0.21,0.37,0.04,548
490936101,0.96,0.24,0.82,0.37,0.79,328
58746417,0.63,0.16,0.72,0.37,0.36,435
925597563,0.26,0.16,0.39,0.9,0.09,420
633528294,0.97,0.1,0.37,0.37,0.95,346
56545064,0.66,0.23,0.98,0.82,0.56,368
316432231,0.75,0.02,0.8,0.37,0.47,792
560756678,0.75,0.26,0.44,0.37,0.18,381
775056749,0.69,0.14,0.77,0.37,0.23,606
872050878,0.55,0.06,0.49,0.37,0.4,522
50237878,0.89,0.21,0.35,0.37,0.27,446
138932335,0.63,0.13,0.44,0.28,0.3,456
820217632,1,0.11,0.63,0.37,0.77,438
969118288,0.95,0.16,0.25,0.89,0.87,340
622462354,0.89,0.16,0.53,0.79,0.2,691
455144743,0.75,0.26,0.46,0.37,0.38,318
83864261,0.58,0.12,0.42,0.09,0.2,491
879741515,0.55,0.14,0.18,0.76,0.44,344
617364357,1,0.22,0.38,0.75,0.63,374
117640812,0.22,0.11,0.63,0.07,0.19,343
482418779,0.55,0.2,0.49,0.75,0.09,494
598939897,0.74,0.2,0.36,0.37,0.5,318
342419774,0.59,0.18,0.11,0.8,0.37,333
881007077,0.95,0.24,0.51,0.94,0.31,488
744184749,0.91,0.12,0.71,0.79,0.73,462
61226557,0.55,0.15,0.04,0.25,0.27,310
134063873,0.55,0.15,0.25,0.55,0.33,365
50496288,0.64,0.05,0.76,0.87,0.55,607
109153217,0.63,0.06,0.82,0.37,0.75,409
396122723,0.53,0.05,0.7,0.68,0.55,513
110111225,0.97,0.21,0.25,0.37,0.14,538
651791721,0.55,0.18,0.82,0.09,0.06,541
755671984,0.72,0.25,0.96,0.37,0.08,522
431863419,0.27,0.15,0.75,0.37,0.18,387
101012518,0.75,0.05,0.05,0.77,0.67,423
284279894,0.91,0.13,0.83,0.37,0.23,774
488303312,0.82,0.2,0.82,0.98,0.62,416
731685482,0.25,0.04,0.38,0.74,0.2,683
54572807,0.72,0.04,0.25,0.37,0.31,759
139881063,0.75,0.18,0.22,0.37,0.06,554
889483717,0.55,0.14,0.59,0.98,0.28,541
926013084,0.71,0,0.37,0.83,0.61,634
771359502,0.82,0.15,0.25,0.37,0.48,389
26589373,0.67,0.02,0.22,0.84,0.56,567
302130044,0.55,0.12,0.48,0.9,0.3,537
33139384,0.33,0.05,0.62,0.37,0.55,351
517196169,0.76,0.01,0.08,0.91,0.57,615
895837002,0.65,0.18,0.98,0.85,0.49,446
412137724,0.65,0.21,0.63,0.37,0.07,513
228595583,0.9,0.16,0.55,0.37,0.21,630
19007025,0.55,0.02,0.25,0.37,0.5,477
183157068,0.25,0,0.95,0.14,0.53,460
936905551,0.75,0.26,0.82,0.37,0.15,454
727788772,0.09,0.06,0.78,0.79,0.35,429
564447062,0.75,0.14,0.97,0.37,0.37,563
472988495,0.9,0.16,0.98,0.37,0.65,442
52272037,0.91,0.23,0.41,0.76,0.82,302
728426846,0.75,0.18,0.81,0.37,0.45,425
51599957,0.55,0.05,0.19,0.37,0.19,759
957254201,0.88,0.17,0.98,0.37,0.21,683
53089004,0.55,0.26,0.73,0.37,0.35,300
411722997,0.06,0.06,0.56,0.56,0.04,732
175727617,0.68,0.2,0.8,0.37,0.64,319
504898413,0.75,0.12,0.23,0.37,0.24,557
101505898,1,0.12,0.25,0.81,0.5,545
69824488,0.64,0.25,0.16,0.37,0.2,300
490520018,1,0.05,0.82,0.37,0.76,560
519056589,0.75,0.14,0.22,0.37,0.06,693
667232253,0.62,0.1,0.81,0.94,0.66,451
21171754,0.53,0.25,0.97,0.28,0.37,321
513451432,0.71,0.21,0.25,0.37,0.36,326
78489726,0.55,0.23,0.81,0.29,0.3,346
487854843,1,0.16,0.75,0.84,0.31,692
13831216,0.55,0.08,0.46,0,0.3,484
384840499,0.97,0.2,0.8,0.37,0.72,376
216778076,0.55,0.2,0.82,0.03,0.09,462
737895589,0.96,0.1,0.82,0.37,0.56,577
94455413,0.9,0.19,0.99,0.37,0.73,385
752076658,0.55,0.26,0.66,0.32,0.15,348
585193095,0.96,0.47,0.61,0.75,0.01,354
278150062,0.73,0.03,0.74,0.37,0.86,425
380458828,0.64,0.17,0.82,0.99,0.46,460
851514262,0.75,0.2,0.75,0.37,0.36,429
330038786,0.71,0.02,1,0.37,0.52,751
845551196,0.61,0.21,0.34,0.99,0,577
149137098,0.55,0.09,0.58,0.83,0.32,614
610400528,0.68,0.14,0.82,0.37,0.82,321
345761366,0.63,0.15,0.68,0.84,0.3,542
806140615,0.75,0.12,0.35,0.37,0.57,378
33552308,0.65,0.22,0.73,0.37,0.09,499
411355176,0.75,0.07,0.4,0.37,0.4,589
261625333,0.88,0.13,0.8,0.37,0.22,762
946762321,0.75,0.09,0.18,0.75,0.51,467
675115495,0.75,0.15,0.71,0.37,0.56,402
906277373,0.27,0.23,0.82,0.65,0.03,392
84075734,0.55,0.2,0.41,0.37,0.36,303
507867008,0.55,0.12,0.62,0.11,0.25,486
510942724,0.95,0.24,0.25,0.37,0.21,438
27195768,0.55,0.05,0.25,0.94,0.33,675
602321374,0.73,0.11,0.52,0.37,0.73,350
854612867,0.28,0.1,0.25,0.17,0.16,332
795257104,0.75,0.01,0.79,0.37,0.82,492
948143611,1,0.16,0.8,0.82,0.66,484
447295419,0.97,0.24,0.23,0.37,0.39,370
293928352,0.55,0.04,0.13,0.99,0.73,366
66432365,0.55,0.12,0.79,0.37,0.37,477
422557039,0.55,0.18,0.64,0.37,0.32,378
95499584,0.75,0.17,0.74,0.78,0.46,465
136998012,0.68,0.18,0.95,0.37,0.33,480
474998837,0.55,0.03,0.82,0.26,0.44,644
1975496,0.64,0.03,0.25,0.37,0.61,426
748032091,0.68,0.17,0.82,0.37,0.75,316
947968948,0.55,0.18,0.73,0.01,0.41,319
630519147,0.89,0.21,0.25,0.37,0.34,398
575872664,0.55,0,0.97,0.15,0.55,642
588186365,0.71,0.17,0.59,0.37,0.59,340
862915547,0.55,0.04,0.68,0.23,0.63,423
367864867,0.59,0.22,0.82,0.59,0.32,396
760176515,0.55,0.16,0.82,0.64,0.06,703
787816104,0.06,0.19,0.82,0.79,0.08,343
700358818,0.96,0.19,0.17,0.37,0.26,480
162068695,0.75,0.01,0.06,0.75,0.59,559
206022539,0.24,0.08,0.49,0.98,0.42,387
67720263,0.75,0.24,0.47,0.94,0.56,334
113674605,0.74,0.08,0.15,0.37,0.39,506
40289411,0.55,0.18,0.54,0.22,0.44,302
232235073,0.55,0.1,0.75,0.61,0.25,665
216549577,0.55,0.14,0.01,0.67,0.16,450
464219936,0.55,0.19,0.62,0.37,0.14,454
822853497,0.69,0.17,0.54,0.37,0.56,336
869285642,0.97,0.45,0.98,0.37,0.08,366
658905313,0.99,0.07,0.54,0.8,0.97,430
552260518,0.22,0.15,0.52,0.37,0.07,369
254339755,0.75,0.25,0.18,0.37,0.05,408
241448483,0.75,0.23,0.41,0.37,0.08,469
379335141,0.55,0.17,0.73,0.93,0.74,316
890289963,0.88,0.12,0.39,0.78,0.22,766
303595483,0.64,0.19,0.62,0.97,0.37,440
511235363,0.55,0.1,0.36,0.94,0.14,774
264365057,0.69,0.02,0.45,0.82,0.56,631
226376388,0.75,0.12,0.02,0.8,0.77,306
630956493,0.75,0.16,0.4,0.37,0.44,391
562788374,0.67,0.26,0.62,0.37,0.43,301
792759831,0.75,0.05,0.64,0.37,0.66,488
31021454,0.55,0.15,0.22,0.22,0.2,381
67083541,0.75,0.16,0.03,0.37,0.15,483
731585041,0.93,0.19,0.19,0.37,0.35,425
549440746,0.96,0.25,0.43,0.37,0.09,521
103460391,0.1,0.1,0.97,0.99,0.2,559
864630155,0.55,0.22,0.58,0.82,0.07,495
418455319,0.96,0.05,0.81,0.37,0.69,589
23274083,0.55,0.17,0.16,0.7,0.25,377
533280183,0.61,0.05,0.97,0.01,0.61,474
863534457,0.1,0.05,0.55,0.63,0.38,341
615812798,0.53,0.25,0.51,0.37,0.02,389
